id,url,headline,author,date
0,https://www.theverge.com/2022/9/12/23349309/halo-infinite-343-industries-bonnie-ross-xbox,The head of Halo is leaving Xbox after 15 years in charge,Jay Peters,9/12/2022
1,https://www.theverge.com/2022/9/12/23349247/oneplus-11-pro-leaks-alert-slider-camera-redesign-features-rumors,OnePlus 11 Pro leaks show an alert slider and a massive camera redesign,Jess Weatherbed,9/12/2022
2,https://www.theverge.com/2022/9/12/23348911/climate-disaster-us-map-flood-fire-heatwave-drought,There’s a new map of climate disasters in America,Justine Calma,9/12/2022
3,https://www.theverge.com/2022/9/12/23349213/google-mandiant-acquisition-cloud-security-threat-intelligence,Google now owns the firm that found SolarWinds,Corin Faife,9/12/2022
4,https://www.theverge.com/23319739/apple-iphone-ios-16-android-features-google-apps-comparison,Brand new iPhone features that Android already has,Barbara Krasnoff,
5,https://www.theverge.com/23342927/apple-watch-ultra-tv-watch,Let me watch TV on the Apple Watch Ultra,Andrew Marino,9/10/2022
6,https://www.theverge.com/2022/9/12/23348910/samsung-discover-galaxy-watch-4-40mm-44mm-wearable-smartwatch-deal-sale,"For the next three hours, you can get a Galaxy Watch 4 for just $129",Alice Newcome-Beill,9/12/2022
7,https://www.theverge.com/23348868/apple-macbook-macos-split-view-how-to,How to use split view on a MacBook,Monica Chin,9/12/2022
8,https://www.voxmedia.com/careers,"We're building great things, and we need your talent.",,
9,https://www.theverge.com/2022/9/12/23348948/entergalactic-netflix-trailer-kid-cudi,It’s cuffing season in new trailer for Kid Cudi’s Entergalactic Netflix television event,Charles Pulliam-Moore,9/12/2022
10,https://www.theverge.com/good-deals/2022/9/12/23348756/apple-refurbished-airpods-max-watch-7-tcl-ps5-xbox-series-x-deal-sale,Apple’s refurbished AirPods Max are $180 off the original cost,Cameron Faulkner,9/12/2022
11,https://www.theverge.com/2022/9/12/23348614/carrot-weather-app-ios-16-update-new-features,Carrot 5.8 is introducing fresh and funny weather features for iOS 16,Jess Weatherbed,9/12/2022
